Tipo,Num,Proceso,Enviar A,Fecha Hallazgo,Estado,Eficacia Global,Descripción,Servicio,Fuente,Reportado Por,Indicador,Actividad,,,,,,Fecha Cierre Proyectada,Avance %,Dias,Fecha Cierre,Causa Raiz
No Conformidad,1781,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"3. El prestador de servicios de salud cuenta con un programa de capacitación en el uso de dispositivos médicos cuando éstos lo requieran, el cual puede ser desarrollado por el fabricante, importador o por el mismo prestador: No cuenta con programa de capacitación en el uso de dispositivos médicos, tampoco se evidencian capacitaciones realizadas.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1782,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,4. La dotación de los servicios de salud está en concordancia con lo definido por el prestador en el estándar de procesos prioritarios: El prestador no documenta la dotación según los procedimientos documentados y verificados en el estándar de procesos prioritarios.,,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1783,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"5. La suficiencia de equipos biomédicos está relacionada con la frecuencia de uso de los mismos, incluyendo los tiempos del proceso de esterilización, cuando aplique: No cuenta con documento donde se evidencie suficiencia de equipos biomédicos relacionada con la frecuencia de uso de los mismos.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1784,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"16. Adicional a los criterios enunciados del presente estándar, que le apliquen, el prestador de servicios de salud cuenta con: 16.1. Sistemas de telecomunicaciones de doble via: No cuenta con sistemas de telecomunicaciones de doble vía.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1785,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,2.3. Serie (cuando aplique): Cuenta con documento en Excel “kardex medico San Juan de Villalobos” no se evidencia este ítem.,,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1786,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"2.7. Vida útil, cuando aplique: Cuenta con documento en Excel “kardex medico San Juan de Villalobos” no se evidencia este ítem.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1787,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"4.5. Almacenamiento: Cuenta con “procedimiento para el almacenamiento y conservación de medicamentos, dispositivos médicos e insumos” con código PR-MI-FA-3, donde se evidencia la documentación de proceso para este ítem, pero este proceso no se lleva a cabo de acuerdo a lo documentado.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1788,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"4.7. Control de fechas de vencimiento: Cuenta con “procedimiento para el almacenamiento y conservación de medicamentos, dispositivos médicos e insumos” con código PR-MI-FA-3, donde se evidencia la documentación de proceso para este ítem, pero este proceso no se lleva a cabo de acuerdo a lo documentado.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1789,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"4.12. Disposición final: Cuenta con “procedimiento para el almacenamiento y conservación de medicamentos, dispositivos médicos e insumos” con código PR-MI-FA-3, no se evidencia la documentación de proceso para este ítem.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1790,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"6. El prestador de servicios de salud cuenta con información documentada de la planeación y ejecución de los programas de farmacovigilancia, tecnovigilancia y reactivovigilancia, que garanticen el seguimiento al uso de medicamentos, dispositivos médicos (incluidos los sobre medida) y reactivos de diagnóstico in vitro, cuando aplique: Cuenta con “programa de farmacovigilancia” con código MA-MI-FA-01, no se evidencia código de inscripción, no se evidencia capacitaciones. Se aplica herramienta del Invima para seguimiento a la implementación del Programa Institucional de Tecnovigilancia, observando un resultado de 14 % de implementación. Se deja herramienta con resultado por componente, para realizar acciones de mejora .",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1791,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"7. El prestador de servicios de salud que cuente con reservas de medicamentos, homeopáticos, fitoterapéuticos, medicamentos biológicos, componentes anatómicos, dispositivos médicos (incluidos los sobre medida), reactivos de diagnóstico in vitro, y demás insumos asistenciales, debe garantizar que se almacenen en condiciones apropiadas de temperatura, humedad, ventilación, segregación y seguridad de acuerdo con las condiciones definidas por el fabricante o el banco del componente anatómico, según aplique, y contar con instrumento para medir humedad relativa y temperatura y evidenciar su registro, control y gestión: En almacén y el servicio de odontologia cuenta con instrumento y registro para temperatura y humedad de los dispositivos médicos y medicamentos. En esterilización no se evidencia instrumento y registro para el instrumental.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1792,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"9. La suficiencia de dispositivos médicos está relacionada con la frecuencia de uso de los mismos, incluyendo los tiempos del proceso de esterilización, cuando aplique.: No cuenta con documento donde se evidencie suficiencia de los dispositivos médicos relacionada con la frecuencia de uso de los mismos.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1793,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"10. El prestador de servicios de salud cuenta con paquete para el manejo de derrames y rupturas de medicamentos, ubicado en un lugar de fácil acceso, visible y con adecuada señalización, disponible para su uso en los servicios y ambientes donde se requieran. El prestador de servicios de salud define su contenido de acuerdo con los medicamentos utilizados y lo sugerido por el fabricante en las fichas técnicas: Cuenta con paquete para el manejo de derrames y rupturas de medicamentos, ubicado en un lugar de fácil acceso, visible y con adecuada señalización, pero este no cuenta con todos los insumos documentados por el prestador.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1794,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,16.1. Dispositivos médicos e insumos asistenciales según la patología del paciente o eventos de interés en salud pública cuando se requiera: El prestador no documenta los dispositivos médicos e insumos según la patología del paciente en el estándar de procesos prioritarios.,,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1795,Gestión de Recursos,calidad,21/Mar/2025,Vencida,,"16.2. Medicamentos de acuerdo con inventario establecido por el prestador acorde a lo documentado en sus procesos prioritarios, cuando se requiera: El prestador no documenta los dispositivos médicos e insumos según la patología del paciente en el estándar de procesos prioritarios.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1796,Misionales,calidad,21/Mar/2025,Vencida,,"3. El prestador de servicios de salud cuenta con un comité o instancia que orienta y promueve la política de seguridad del paciente, el control de infecciones y la optimización del uso de antibióticos, cuando los prescriba o administre. En el caso de profesionales independientes de salud podrá ser el mismo prestador: La ESE presenta documento acta de reunión del actualización del personal a carrgo del comité de seguridad del paciente del 16 de febrero de 2024 donde establece que se reunirán de manera trimestral según cronograma, sin embargo se verifica que dentro del programa tiene definido de manera mensual información que no concuerda. Se verifica acta del mes de 5 agosto del 2024 medianta acta no 1 los referentes del punto de atención del comite de seguridad, sin embargo los soportes no se encuentran firmados, no se encuentran soportes de los siguientes meses de operativiización.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1797,Misionales,calidad,21/Mar/2025,Vencida,,"4. El prestador de servicios de salud adopta y realiza las siguientes prácticas seguras, según aplique a su servicio de salud y cuenta con información documentada para: 4.1. Asegurar la correcta identificación del paciente en los procesos asistenciales. (que incluya como mínimo dos identificadores: nombre completo y número de identificación): La ese presenta documento MA-MI-HO-01 identificación del usuario, el cual tiene como objetivo definir las actividades para la correcta identificación del paciente estableciendo como sistemas de identificación tarjeta de cabecera, manillas de identificación la cual será obligatoria para todos los usuarios que ingresen por urgencias, consulta externa, hospitalización ambos métodos mencionados tendrán como identificadores nombres y apellidos completos, numero de identificación, eps; al momento de la verificación se cuenta con soporte de socialización 28-10- 2024, se evidencia que dentro del cronograma del 2025 se encuentran incluidos las prácticas seguras, no se cuenta con medición de adherencia.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1798,Misionales,calidad,21/Mar/2025,Vencida,,"4.3. Detectar, prevenir y reducir infecciones asociadas con la atención en salud (que incluya protocolo de higiene de manos o higienización con soluciones a base de alcohol). La ESE presenta documento PT-ES-CA-03 protocolo de lavado de manos el cual tiene como objetivo obtener una disminución significativa en la flora residente y eliminar completamente la flora transitoria se establecen los tipos de lavados de manos, los momentos pero no se menciona los materiales e insumos requeridos para dicha estrategia, no se cuenta con soportes de socialización, se realiza la verificación en sitio el personal manifiesta que se realizó en el mes de noviembre, el personal en sitio es adherente en el momento de realizar la visita. Sin embargo no se cuenta con soportes de aplicación de medición de adherencia según las listas de chequeo. Se evidencia que se encuentran realizando reemvase de jabón líquido y alcohol glicerinado.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1799,Misionales,calidad,21/Mar/2025,Vencida,,"4.4. Detectar, analizar y gestionar eventos adversos: La ESE presenta documento PT-ES-CA-01 protocolo de Londres eventos adverso mediante el cual se establece la metodología para el análisis de los eventos adversos, adicionalmente se cuenta con documento PR-ES-CA-01 gestión del evento adverso el cual establece que para la identificación de los eventos se revisara diariamente el programa gema, revisión diaria de los eventos reportados, depurar los eventos registrados, entregar a cada líder asistencial un condensado de los eventos adversos, socialización de los eventos en el comité de seguridad del paciente, se evidencia socialización de información el 28-10-2024. Sin embargo no se tiene soporte que permitan evidenciar la operativización.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1800,Misionales,calidad,21/Mar/2025,Vencida,,"4.6. Mejorar la seguridad en la utilización de medicamentos, en los servicios donde aplique: La ESE presenta documento PT-MI-UR-01 administración de medicamentos el cual tiene como objetivo estandarizar la administración de medicamentos en el proceso de atención en dicho documento se establece que el inicio de este procedimiento inicia con la formulación por parte del personal médico, posteriormente se realiza bajo los 10 correctos la administración de dicho medicamento se debe rotular con el nombre completo del medicamento y finaliza con el registro de la administración. Socialización el 28-10-2024, no se encuentra medición de adherencia.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1801,Misionales,calidad,21/Mar/2025,Vencida,,"4.7. Prevenir y reducir la frecuencia de caídas, en los servicios donde aplique: La ese cuenta con documento PT-ES-CA-06 protocolo para la prevención de caídas de pacientes el cual tiene como objetivo estandarizar acciones de prevención para disminuir el riesgo de caídas mediante acciones tales como mobiliario adecuado, camilla con barandas elevadas y con freno de seguridad, condiciones de orden y aseo, aplicación de escala de DOWNTON, se verifica socialización el 28-10-2024. El prestador en el momento no cuenta con soportes de medición de adherencia.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1802,Misionales,calidad,21/Mar/2025,Vencida,,"5. El prestador de servicios de salud promueve la cultura de seguridad del paciente que involucra a todo el personal de manera sistemática con un enfoque educativo no punitivo mediante:5.2. Actividades donde se ilustra al paciente y sus allegados en el autocuidado de su seguridad: La ESE presenta documento PT-MI-HO-01 protocolo autocuidado paciente y sus cuidadores el cual tiene como objetivo desarrollar y fortalecer el conocimiento técnico en el autocuidado para la aplicación de prácticas seguras con el fin de lograr el involucramiento de los pacientes en su cuidado, no se cuenta con soportes de socialización.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1803,Misionales,calidad,21/Mar/2025,Vencida,,"6. El prestador de servicios de salud cuenta con información documentada de las actividades y procedimientos que se realizan en el servicio acordes con su objeto, alcance y enfoque diferencial, mediante guías de práctica clínica- GPC, procedimientos de atención, protocolos de atención y otros documentos que el prestador de servicios de salud determine, dicha información incluye talento humano, equipos biomédicos, medicamentos y dispositivos médicos e insumos requeridos: La ESE presenta las siguientes guías segun el pareto de moribilidad: HIPERTENSION ESENCIAL, RINOFARINGITIS, CEFALEA Y PARASITOSIS INTESTINAL las cuales se encuentran documentadas y procedimientos: retiro e inserción de implante subdermico, lavado de oídos, suturas, lavado de ocular, sonda vesical, onicectomía, electrocardiograma, venopunción, sonda vesical, inserción de dispositivo intrauterino y drenaje de colecciones. Dentro de los documentos no se evidencia que cuenta con todas las especificaciones de talento humano, equipos biomédicos y medicamentos y dispositivos médicos para el procedimiento de suturas, retiro e inserción de implante subdermico, derenaje de abscesos, paso de sonda vesical El prestador no soporta documentos de lavado de ojos, lavado de oído, onicectomía.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1804,Misionales,calidad,21/Mar/2025,Vencida,,"10. El prestador de servicios de salud cuenta con información documentada de la adopción, o adaptación o desarrollo de guías práctica clínica o protocolos basados en evidencia científica: No se cuenta con la informacion documentada.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1805,Misionales,calidad,21/Mar/2025,Vencida,,"12. El prestador de servicios de salud cuenta con la siguiente información documentada:12.2. Aseo, limpieza y desinfección de áreas y superficies: El prestador presenta el Manual de limpieza y desinfección Código PTA-MI-SG 03 Versón1 fecha 2021. En el cual se evidencia la definidos los elementos de uso para ejecutar la actividad. Se evidencia en el recorrido que se encuentran las áreas limpias y en orden. Se recomienda definir las actividades de limpieza y desinfección en los servicio de alta rotación de usuarios.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1806,Misionales,calidad,21/Mar/2025,Vencida,,"12.4. Acciones para prevenir las flebitis infecciosas, químicas y mecánicas en los servicios donde se realicen procedimientos de venopunción: Se encuentra documentado ADMINISTRACIÓN DE MEDICAMENTOS PT-MI-UR-01 Código 2 fecha marzo del 2019. Cuenta con acciones preventivas para las flebitis, se verifica socialización sin embargo el prestador no presenta soportes de socialización al personal.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1807,Misionales,calidad,21/Mar/2025,Vencida,,"12.6. Descontaminación por derrames de sangre u otros fluidos corporales: Cuenta con un MANUAL CONTROL DE DERRAME DE FLUIDOS CORPORALES Código MA -MI-SG02 Versión 2 Fecha Abril 2021, se verifica no cuenta con socialización, no contiene descripción del contenido del kit de derrames ni el talento humano responsable de ejecutar dicha actividad, personal no adherente.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1808,Misionales,calidad,21/Mar/2025,Vencida,,"13.1. Buenas prácticas de esterilización de acuerdo con los procedimientos y técnicas que se utilicen, que describa como mínimo los siguientes aspectos: 13.1.1. Recibo de productos contaminados y entrega de material estéril: Cuentan con manual de buenas prácticas de esterilización, limpieza y desinfección. Código: MAES-CA-02 Versión 02 2019 en el cual no se evidencia el manejo de los aspectos de transporte, lubricación, empaque, etiquetado, verificación de la integridad del material estéril ni control de calidad; también cuenta con el ""MANUAL DE BUENAS PRÁCTICAS DE ESTERILIZACIÓN EN ODONTOLOGÍA Y SALUD ORAL"" Código: MA-MI-OD-05 Versión 6 de mayo 29 de 2020 donde deben definir: el transporte, lubricación. Deben actualizar y ajustar los manuales de acuerdo a lo solicitado en cada criterio.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1809,Misionales,calidad,21/Mar/2025,Vencida,,"13.1.2. Transporte. 13.1.3. Lavado, secado y lubricación. 13.1.4. Empaque. 13.1.5. Etiquetado: Deben documentarlo en el manual de esterilización.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1810,Misionales,calidad,21/Mar/2025,Vencida,,"13.1.8. Verificación de la integridad del material estéril. 13.1.9. Control de calidad que incluya el análisis de los reportes de dicho control, para la toma de medidas preventivas y correctivas: Deben documentarlo en el manual de esterilización.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
No Conformidad,1811,Misionales,calidad,21/Mar/2025,Vencida,,"15. Los prestadores de servicios de salud tienen definidos procedimientos que garanticen el cumplimiento del no reúso de dispositivos médicos cuando el fabricante así lo haya establecido: Se evidencia 3 procedimientos de no reúso de dispositivos médicos, los cuales no describen el procedimiento realizado en el punto de atención. El documento debe ser revisado y describirlo de acuerdo a los servicios habilitados y los dispositivos utilizados.",,Visitas de verificación de la Secretaria de Salud Departamental del Cauca - Santa Rosa - San Juan de Villalobos,Administrador,,,,,,,,30/Jun/2025,0 %,-150,,
